Date,North Tower (kWh),temp_C,Holiday,Hour,Day_of_Week,Sin_hour,Workday,Gaussian,Power-1,Prediction
2019-01-01 01:00:00,43.221,10.3775,1,1,1,-8.933048616783237,0,50.91176723534449,43.537,43.42909083414383
2019-01-01 02:00:00,43.231,10.260833333333332,1,2,1,-8.29559391923785,0,51.7574773449363,43.221,43.964678047776985
2019-01-01 03:00:00,43.434,9.666666666666666,1,3,1,-7.024659857791685,0,53.182380348729104,43.231,43.71319984281205
2019-01-01 04:00:00,42.527,8.640833333333333,1,4,1,-5.2068584884144515,0,55.41341132946451,43.434,43.12009876525471
2019-01-01 05:00:00,42.7,9.093333333333334,1,5,1,-2.9660699703704005,0,58.65060667319549,42.527,42.7878176119024
2019-01-01 06:00:00,44.927,8.3925,1,6,1,-0.45500033808613605,0,62.98609869433399,42.7,45.28214650760945
2019-01-01 07:00:00,61.382,7.697500000000001,1,7,1,2.1552251627369516,0,68.31333447086458,44.927,47.851286678441504
2019-01-01 08:00:00,77.058,7.696666666666666,1,8,1,4.686723977819363,0,74.26122638850534,61.382,72.15776482401539
2019-01-01 09:00:00,77.821,8.685,1,9,1,6.966978646412833,0,80.1935840795603,77.058,76.61026110271104
2019-01-01 10:00:00,77.499,9.961666666666668,1,10,1,8.840593581151715,0,85.29987610338382,77.821,77.98257838778723
2019-01-01 11:00:00,77.855,11.290833333333332,1,11,1,10.17988502052864,0,88.76932937905377,77.499,78.56301142393765
2019-01-01 12:00:00,77.774,12.480833333333337,1,12,1,10.893582466233818,0,90.0,77.855,78.53386299954467
2019-01-01 13:00:00,78.399,14.080833333333333,1,13,1,10.933048616783237,0,88.76932937905377,77.774,78.3723043089649
2019-01-01 14:00:00,78.497,15.055,1,14,1,10.295593919237854,0,85.29987610338382,78.399,77.47714712295675
2019-01-01 15:00:00,78.717,15.814166666666669,1,15,1,9.024659857791692,0,80.1935840795603,78.497,74.85013621341281
2019-01-01 16:00:00,80.069,15.722500000000002,1,16,1,7.206858488414452,0,74.26122638850534,78.717,74.14725829458116
2019-01-01 17:00:00,82.683,14.49,1,17,1,4.96606997037041,0,68.31333447086458,80.069,74.97401905352066
